,indRap,PC,RC,Com
4829,321,P20,R0,Commentaire Aléatoire0_Très
4830,322,P01,R4,Commentaire Aléatoire1_îàèù
4831,322,P02,R9,Commentaire Aléatoire4_Qûàtré
4832,322,P03,R4,Commentaire Aléatoire0_Très
4833,322,P04,R4,Commentaire Aléatoire1_îàèù
4834,322,P05,R2,Commentaire Aléatoire2_Trop Û
4835,322,P06,R1,Commentaire Aléatoire2_Trop Û
4836,322,P07,R7,Commentaire Aléatoire1_îàèù
4837,322,P08,R5,Commentaire Aléatoire0_Très
4838,322,P09,R1,Commentaire Aléatoire1_îàèù
4839,322,P10,R2,Commentaire Aléatoire4_Qûàtré
4840,322,P11,R2,Commentaire Aléatoire4_Qûàtré
4841,322,P12,R3,Commentaire Aléatoire0_Très
4842,322,P13,R2,Commentaire Aléatoire2_Trop Û
4843,322,P14,R2,Commentaire Aléatoire3_Trois_Ècî
4844,322,P20,R2,Commentaire Aléatoire3_Trois_Ècî
4845,323,P01,R4,Commentaire Aléatoire4_Qûàtré
4846,323,P02,R5,Commentaire Aléatoire4_Qûàtré
4847,323,P03,R4,Commentaire Aléatoire0_Très
4848,323,P04,R5,Commentaire Aléatoire0_Très
4849,323,P05,R2,Commentaire Aléatoire1_îàèù
4850,323,P06,R2,Commentaire Aléatoire0_Très
4851,323,P07,R7,Commentaire Aléatoire4_Qûàtré
4852,323,P08,R5,Commentaire Aléatoire1_îàèù
4853,323,P09,R2,Commentaire Aléatoire1_îàèù
4854,323,P10,R2,Commentaire Aléatoire0_Très
4855,323,P11,R2,Commentaire Aléatoire0_Très
4856,323,P12,R3,Commentaire Aléatoire1_îàèù
4857,323,P13,R2,Commentaire Aléatoire3_Trois_Ècî
4858,323,P14,R2,Commentaire Aléatoire0_Très
4859,323,P20,R2,Commentaire Aléatoire3_Trois_Ècî
4860,324,P01,R3,Commentaire Aléatoire1_îàèù
4861,324,P02,R0,Commentaire Aléatoire4_Qûàtré
4862,324,P03,R4,Commentaire Aléatoire3_Trois_Ècî
4863,324,P04,R5,Commentaire Aléatoire1_îàèù
4864,324,P05,R2,Commentaire Aléatoire4_Qûàtré
4865,324,P06,R2,Commentaire Aléatoire3_Trois_Ècî
4866,324,P07,R7,Commentaire Aléatoire0_Très
4867,324,P08,R5,Commentaire Aléatoire3_Trois_Ècî
4868,324,P09,R2,Commentaire Aléatoire3_Trois_Ècî
4869,324,P10,R2,Commentaire Aléatoire4_Qûàtré
4870,324,P11,R2,Commentaire Aléatoire2_Trop Û
4871,324,P12,R3,Commentaire Aléatoire0_Très
4872,324,P13,R2,Commentaire Aléatoire4_Qûàtré
4873,324,P14,R2,Commentaire Aléatoire3_Trois_Ècî
4874,324,P20,R2,Commentaire Aléatoire0_Très
4875,325,P01,R4,Commentaire Aléatoire2_Trop Û
4876,325,P02,R9,Commentaire Aléatoire3_Trois_Ècî
4877,325,P03,R4,Commentaire Aléatoire2_Trop Û
4878,325,P04,R5,Commentaire Aléatoire1_îàèù
4879,325,P05,R1,Commentaire Aléatoire0_Très
4880,325,P06,R2,Commentaire Aléatoire3_Trois_Ècî
4881,325,P07,R7,Commentaire Aléatoire4_Qûàtré
4882,325,P08,R5,Commentaire Aléatoire3_Trois_Ècî
4883,325,P09,R2,Commentaire Aléatoire3_Trois_Ècî
4884,325,P10,R2,Commentaire Aléatoire2_Trop Û
4885,325,P11,R2,Commentaire Aléatoire2_Trop Û
4886,325,P12,R3,Commentaire Aléatoire3_Trois_Ècî
4887,325,P13,R2,Commentaire Aléatoire3_Trois_Ècî
4888,325,P14,R2,Commentaire Aléatoire3_Trois_Ècî
4889,325,P20,R0,Commentaire Aléatoire2_Trop Û
4890,326,P01,R1,Commentaire Aléatoire4_Qûàtré
4891,326,P02,R9,Commentaire Aléatoire1_îàèù
4892,326,P03,R4,Commentaire Aléatoire0_Très
4893,326,P04,R5,Commentaire Aléatoire4_Qûàtré
4894,326,P05,R2,Commentaire Aléatoire3_Trois_Ècî
4895,326,P06,R0,Commentaire Aléatoire1_îàèù
4896,326,P07,R7,Commentaire Aléatoire1_îàèù
4897,326,P08,R2,Commentaire Aléatoire4_Qûàtré
4898,326,P09,R0,Commentaire Aléatoire2_Trop Û
4899,326,P10,R2,Commentaire Aléatoire0_Très
4900,326,P11,R2,Commentaire Aléatoire4_Qûàtré
4901,326,P12,R2,Commentaire Aléatoire1_îàèù
4902,326,P13,R2,Commentaire Aléatoire3_Trois_Ècî
4903,326,P14,R2,Commentaire Aléatoire1_îàèù
4904,326,P20,R2,Commentaire Aléatoire3_Trois_Ècî
4905,327,P01,R4,Commentaire Aléatoire4_Qûàtré
4906,327,P02,R9,Commentaire Aléatoire0_Très
4907,327,P03,R4,Commentaire Aléatoire3_Trois_Ècî
4908,327,P04,R5,Commentaire Aléatoire3_Trois_Ècî
4909,327,P05,R2,Commentaire Aléatoire4_Qûàtré
4910,327,P06,R2,Commentaire Aléatoire0_Très
4911,327,P07,R7,Commentaire Aléatoire4_Qûàtré
4912,327,P08,R5,Commentaire Aléatoire3_Trois_Ècî
4913,327,P09,R2,Commentaire Aléatoire4_Qûàtré
4914,327,P10,R0,Commentaire Aléatoire4_Qûàtré
4915,327,P11,R2,Commentaire Aléatoire3_Trois_Ècî
4916,327,P12,R3,Commentaire Aléatoire0_Très
4917,327,P13,R2,Commentaire Aléatoire4_Qûàtré
4918,327,P14,R0,Commentaire Aléatoire2_Trop Û
4919,327,P20,R2,Commentaire Aléatoire1_îàèù
4920,328,P01,R3,Commentaire Aléatoire0_Très
4921,328,P02,R9,Commentaire Aléatoire1_îàèù
4922,328,P03,R4,Commentaire Aléatoire3_Trois_Ècî
4923,328,P04,R1,Commentaire Aléatoire3_Trois_Ècî
4924,328,P05,R2,Commentaire Aléatoire1_îàèù
4925,328,P06,R2,Commentaire Aléatoire4_Qûàtré
4926,328,P07,R7,Commentaire Aléatoire2_Trop Û
4927,328,P08,R5,Commentaire Aléatoire0_Très
4928,328,P09,R2,Commentaire Aléatoire2_Trop Û
4929,328,P10,R2,Commentaire Aléatoire3_Trois_Ècî
4930,328,P11,R2,Commentaire Aléatoire3_Trois_Ècî
4931,328,P12,R3,Commentaire Aléatoire2_Trop Û
4932,328,P13,R2,Commentaire Aléatoire1_îàèù
4933,328,P14,R2,Commentaire Aléatoire3_Trois_Ècî
4934,328,P20,R2,Commentaire Aléatoire1_îàèù
4935,329,P01,R4,Commentaire Aléatoire0_Très
4936,329,P02,R9,Commentaire Aléatoire0_Très
4937,329,P03,R4,Commentaire Aléatoire4_Qûàtré
4938,329,P04,R3,Commentaire Aléatoire3_Trois_Ècî
4939,329,P05,R2,Commentaire Aléatoire4_Qûàtré
4940,329,P06,R2,Commentaire Aléatoire0_Très
4941,329,P07,R7,Commentaire Aléatoire1_îàèù
4942,329,P08,R5,Commentaire Aléatoire1_îàèù
4943,329,P09,R2,Commentaire Aléatoire2_Trop Û
4944,329,P10,R2,Commentaire Aléatoire2_Trop Û
4945,329,P11,R2,Commentaire Aléatoire1_îàèù
4946,329,P12,R3,Commentaire Aléatoire3_Trois_Ècî
4947,329,P13,R2,Commentaire Aléatoire4_Qûàtré
4948,329,P14,R2,Commentaire Aléatoire1_îàèù
4949,329,P20,R2,Commentaire Aléatoire0_Très
4950,330,P01,R4,Commentaire Aléatoire2_Trop Û
4951,330,P02,R9,Commentaire Aléatoire4_Qûàtré
4952,330,P03,R1,Commentaire Aléatoire4_Qûàtré
4953,330,P04,R5,Commentaire Aléatoire4_Qûàtré
4954,330,P05,R2,Commentaire Aléatoire0_Très
4955,330,P06,R1,Commentaire Aléatoire1_îàèù
4956,330,P07,R7,Commentaire Aléatoire0_Très
4957,330,P08,R5,Commentaire Aléatoire0_Très
4958,330,P09,R2,Commentaire Aléatoire1_îàèù
4959,330,P10,R2,Commentaire Aléatoire1_îàèù
4960,330,P11,R2,Commentaire Aléatoire3_Trois_Ècî
4961,330,P12,R0,Commentaire Aléatoire2_Trop Û
4962,330,P13,R1,Commentaire Aléatoire4_Qûàtré
4963,330,P14,R2,Commentaire Aléatoire0_Très
4964,330,P20,R1,Commentaire Aléatoire0_Très
4965,331,P01,R4,Commentaire Aléatoire0_Très
4966,331,P02,R9,Commentaire Aléatoire2_Trop Û
4967,331,P03,R4,Commentaire Aléatoire2_Trop Û
4968,331,P04,R5,Commentaire Aléatoire4_Qûàtré
4969,331,P05,R0,Commentaire Aléatoire1_îàèù
4970,331,P06,R1,Commentaire Aléatoire3_Trois_Ècî
4971,331,P07,R1,Commentaire Aléatoire4_Qûàtré
4972,331,P08,R0,Commentaire Aléatoire0_Très
4973,331,P09,R2,Commentaire Aléatoire2_Trop Û
4974,331,P10,R2,Commentaire Aléatoire0_Très
4975,331,P11,R2,Commentaire Aléatoire2_Trop Û
4976,331,P12,R3,Commentaire Aléatoire4_Qûàtré
4977,331,P13,R2,Commentaire Aléatoire2_Trop Û
4978,331,P14,R2,Commentaire Aléatoire3_Trois_Ècî
4979,331,P20,R2,Commentaire Aléatoire1_îàèù
4980,332,P01,R4,Commentaire Aléatoire3_Trois_Ècî
4981,332,P02,R8,Commentaire Aléatoire2_Trop Û
4982,332,P03,R0,Commentaire Aléatoire1_îàèù
4983,332,P04,R5,Commentaire Aléatoire2_Trop Û
4984,332,P05,R0,Commentaire Aléatoire1_îàèù
4985,332,P06,R1,Commentaire Aléatoire0_Très
4986,332,P07,R6,Commentaire Aléatoire4_Qûàtré
4987,332,P08,R5,Commentaire Aléatoire3_Trois_Ècî
4988,332,P09,R0,Commentaire Aléatoire3_Trois_Ècî
4989,332,P10,R2,Commentaire Aléatoire4_Qûàtré
4990,332,P11,R2,Commentaire Aléatoire2_Trop Û
4991,332,P12,R3,Commentaire Aléatoire3_Trois_Ècî
4992,332,P13,R2,Commentaire Aléatoire1_îàèù
4993,332,P14,R2,Commentaire Aléatoire0_Très
4994,332,P20,R2,Commentaire Aléatoire3_Trois_Ècî
4995,333,P01,R4,Commentaire Aléatoire2_Trop Û
4996,333,P02,R9,Commentaire Aléatoire2_Trop Û
4997,333,P03,R4,Commentaire Aléatoire4_Qûàtré
4998,333,P04,R5,Commentaire Aléatoire3_Trois_Ècî
4999,333,P05,R2,Commentaire Aléatoire1_îàèù
5000,333,P06,R2,Commentaire Aléatoire4_Qûàtré
5001,333,P07,R7,Commentaire Aléatoire2_Trop Û
5002,333,P08,R1,Commentaire Aléatoire1_îàèù
5003,333,P09,R2,Commentaire Aléatoire3_Trois_Ècî
5004,333,P10,R0,Commentaire Aléatoire1_îàèù
5005,333,P11,R0,Commentaire Aléatoire4_Qûàtré
5006,333,P12,R3,Commentaire Aléatoire2_Trop Û
5007,333,P13,R2,Commentaire Aléatoire4_Qûàtré
5008,333,P14,R2,Commentaire Aléatoire3_Trois_Ècî
5009,333,P20,R2,Commentaire Aléatoire4_Qûàtré
5010,334,P01,R4,Commentaire Aléatoire2_Trop Û
5011,334,P02,R9,Commentaire Aléatoire3_Trois_Ècî
5012,334,P03,R4,Commentaire Aléatoire4_Qûàtré
5013,334,P04,R0,Commentaire Aléatoire0_Très
5014,334,P05,R2,Commentaire Aléatoire0_Très
5015,334,P06,R2,Commentaire Aléatoire4_Qûàtré
5016,334,P07,R7,Commentaire Aléatoire4_Qûàtré
5017,334,P08,R5,Commentaire Aléatoire4_Qûàtré
5018,334,P09,R0,Commentaire Aléatoire0_Très
5019,334,P10,R0,Commentaire Aléatoire1_îàèù
5020,334,P11,R2,Commentaire Aléatoire0_Très
5021,334,P12,R3,Commentaire Aléatoire3_Trois_Ècî
5022,334,P13,R2,Commentaire Aléatoire3_Trois_Ècî
5023,334,P14,R0,Commentaire Aléatoire2_Trop Û
5024,334,P20,R2,Commentaire Aléatoire1_îàèù
5025,335,P01,R4,Commentaire Aléatoire0_Très
5026,335,P02,R9,Commentaire Aléatoire4_Qûàtré
5027,335,P03,R1,Commentaire Aléatoire1_îàèù
5028,335,P04,R5,Commentaire Aléatoire1_îàèù
5029,335,P05,R2,Commentaire Aléatoire2_Trop Û
5030,335,P06,R1,Commentaire Aléatoire4_Qûàtré
5031,335,P07,R7,Commentaire Aléatoire4_Qûàtré
5032,335,P08,R5,Commentaire Aléatoire4_Qûàtré
5033,335,P09,R2,Commentaire Aléatoire0_Très
5034,335,P10,R2,Commentaire Aléatoire4_Qûàtré
5035,335,P11,R2,Commentaire Aléatoire1_îàèù
5036,335,P12,R3,Commentaire Aléatoire0_Très
5037,335,P13,R2,Commentaire Aléatoire2_Trop Û
5038,335,P14,R2,Commentaire Aléatoire2_Trop Û
5039,335,P20,R2,Commentaire Aléatoire4_Qûàtré
5040,336,P01,R4,Commentaire Aléatoire1_îàèù
5041,336,P02,R9,Commentaire Aléatoire1_îàèù
5042,336,P03,R4,Commentaire Aléatoire0_Très
5043,336,P04,R5,Commentaire Aléatoire3_Trois_Ècî
5044,336,P05,R2,Commentaire Aléatoire1_îàèù
5045,336,P06,R0,Commentaire Aléatoire1_îàèù
5046,336,P07,R7,Commentaire Aléatoire4_Qûàtré
5047,336,P08,R4,Commentaire Aléatoire3_Trois_Ècî
5048,336,P09,R2,Commentaire Aléatoire2_Trop Û
5049,336,P10,R2,Commentaire Aléatoire3_Trois_Ècî
5050,336,P11,R2,Commentaire Aléatoire4_Qûàtré
5051,336,P12,R3,Commentaire Aléatoire2_Trop Û
5052,336,P13,R2,Commentaire Aléatoire2_Trop Û
5053,336,P14,R2,Commentaire Aléatoire2_Trop Û
5054,336,P20,R2,Commentaire Aléatoire1_îàèù
5055,337,P01,R4,Commentaire Aléatoire3_Trois_Ècî
5056,337,P02,R9,Commentaire Aléatoire2_Trop Û
5057,337,P03,R4,Commentaire Aléatoire2_Trop Û
5058,337,P04,R5,Commentaire Aléatoire4_Qûàtré
5059,337,P05,R2,Commentaire Aléatoire3_Trois_Ècî
5060,337,P06,R2,Commentaire Aléatoire0_Très
5061,337,P07,R7,Commentaire Aléatoire0_Très
5062,337,P08,R2,Commentaire Aléatoire0_Très
5063,337,P09,R2,Commentaire Aléatoire3_Trois_Ècî
5064,337,P10,R1,Commentaire Aléatoire4_Qûàtré
5065,337,P11,R2,Commentaire Aléatoire3_Trois_Ècî
5066,337,P12,R3,Commentaire Aléatoire2_Trop Û
5067,337,P13,R2,Commentaire Aléatoire3_Trois_Ècî
5068,337,P14,R2,Commentaire Aléatoire3_Trois_Ècî
5069,337,P20,R2,Commentaire Aléatoire2_Trop Û
5070,338,P01,R4,Commentaire Aléatoire1_îàèù
5071,338,P02,R9,Commentaire Aléatoire3_Trois_Ècî
5072,338,P03,R4,Commentaire Aléatoire0_Très
5073,338,P04,R5,Commentaire Aléatoire2_Trop Û
5074,338,P05,R2,Commentaire Aléatoire0_Très
5075,338,P06,R2,Commentaire Aléatoire2_Trop Û
5076,338,P07,R7,Commentaire Aléatoire1_îàèù
5077,338,P08,R5,Commentaire Aléatoire1_îàèù
5078,338,P09,R2,Commentaire Aléatoire2_Trop Û
5079,338,P10,R2,Commentaire Aléatoire4_Qûàtré
5080,338,P11,R2,Commentaire Aléatoire3_Trois_Ècî
5081,338,P12,R3,Commentaire Aléatoire2_Trop Û
5082,338,P13,R2,Commentaire Aléatoire1_îàèù
5083,338,P14,R2,Commentaire Aléatoire3_Trois_Ècî
5084,338,P20,R2,Commentaire Aléatoire1_îàèù
5085,339,P01,R2,Commentaire Aléatoire4_Qûàtré
5086,339,P02,R6,Commentaire Aléatoire4_Qûàtré
5087,339,P03,R4,Commentaire Aléatoire3_Trois_Ècî
5088,339,P04,R5,Commentaire Aléatoire4_Qûàtré
5089,339,P05,R2,Commentaire Aléatoire1_îàèù
5090,339,P06,R2,Commentaire Aléatoire1_îàèù
5091,339,P07,R5,Commentaire Aléatoire0_Très
5092,339,P08,R5,Commentaire Aléatoire1_îàèù
5093,339,P09,R2,Commentaire Aléatoire0_Très
5094,339,P10,R2,Commentaire Aléatoire1_îàèù
5095,339,P11,R2,Commentaire Aléatoire1_îàèù
5096,339,P12,R3,Commentaire Aléatoire1_îàèù
5097,339,P13,R2,Commentaire Aléatoire4_Qûàtré
5098,339,P14,R2,Commentaire Aléatoire3_Trois_Ècî
5099,339,P20,R2,Commentaire Aléatoire3_Trois_Ècî
5100,340,P01,R4,Commentaire Aléatoire3_Trois_Ècî
5101,340,P02,R9,Commentaire Aléatoire1_îàèù
5102,340,P03,R3,Commentaire Aléatoire0_Très
5103,340,P04,R5,Commentaire Aléatoire3_Trois_Ècî
5104,340,P05,R2,Commentaire Aléatoire4_Qûàtré
5105,340,P06,R1,Commentaire Aléatoire1_îàèù
5106,340,P07,R2,Commentaire Aléatoire0_Très
5107,340,P08,R5,Commentaire Aléatoire1_îàèù
5108,340,P09,R2,Commentaire Aléatoire2_Trop Û
5109,340,P10,R2,Commentaire Aléatoire1_îàèù
5110,340,P11,R2,Commentaire Aléatoire0_Très
5111,340,P12,R2,Commentaire Aléatoire3_Trois_Ècî
5112,340,P13,R2,Commentaire Aléatoire4_Qûàtré
5113,340,P14,R2,Commentaire Aléatoire2_Trop Û
5114,340,P20,R0,Commentaire Aléatoire4_Qûàtré
5115,341,P01,R4,Commentaire Aléatoire4_Qûàtré
5116,341,P02,R9,Commentaire Aléatoire3_Trois_Ècî
5117,341,P03,R1,Commentaire Aléatoire4_Qûàtré
5118,341,P04,R2,Commentaire Aléatoire0_Très
5119,341,P05,R2,Commentaire Aléatoire0_Très
5120,341,P06,R2,Commentaire Aléatoire2_Trop Û
5121,341,P07,R7,Commentaire Aléatoire3_Trois_Ècî
5122,341,P08,R5,Commentaire Aléatoire0_Très
5123,341,P09,R2,Commentaire Aléatoire2_Trop Û
5124,341,P10,R2,Commentaire Aléatoire3_Trois_Ècî
5125,341,P11,R2,Commentaire Aléatoire2_Trop Û
5126,341,P12,R3,Commentaire Aléatoire1_îàèù
5127,341,P13,R1,Commentaire Aléatoire3_Trois_Ècî
5128,341,P14,R2,Commentaire Aléatoire4_Qûàtré
5129,341,P20,R0,Commentaire Aléatoire4_Qûàtré
5130,342,P01,R4,Commentaire Aléatoire2_Trop Û
5131,342,P02,R9,Commentaire Aléatoire1_îàèù
5132,342,P03,R4,Commentaire Aléatoire0_Très
5133,342,P04,R5,Commentaire Aléatoire3_Trois_Ècî
5134,342,P05,R2,Commentaire Aléatoire4_Qûàtré
5135,342,P06,R2,Commentaire Aléatoire2_Trop Û
5136,342,P07,R7,Commentaire Aléatoire0_Très
5137,342,P08,R5,Commentaire Aléatoire0_Très
5138,342,P09,R2,Commentaire Aléatoire4_Qûàtré
5139,342,P10,R1,Commentaire Aléatoire2_Trop Û
5140,342,P11,R2,Commentaire Aléatoire2_Trop Û
5141,342,P12,R3,Commentaire Aléatoire0_Très
5142,342,P13,R2,Commentaire Aléatoire4_Qûàtré
5143,342,P14,R2,Commentaire Aléatoire3_Trois_Ècî
5144,342,P20,R2,Commentaire Aléatoire0_Très
5145,343,P01,R4,Commentaire Aléatoire1_îàèù
5146,343,P02,R9,Commentaire Aléatoire3_Trois_Ècî
5147,343,P03,R4,Commentaire Aléatoire2_Trop Û
5148,343,P04,R5,Commentaire Aléatoire4_Qûàtré
5149,343,P05,R2,Commentaire Aléatoire3_Trois_Ècî
5150,343,P06,R2,Commentaire Aléatoire1_îàèù
5151,343,P07,R5,Commentaire Aléatoire0_Très
5152,343,P08,R5,Commentaire Aléatoire3_Trois_Ècî
5153,343,P09,R2,Commentaire Aléatoire3_Trois_Ècî
5154,343,P10,R1,Commentaire Aléatoire2_Trop Û
5155,343,P11,R2,Commentaire Aléatoire2_Trop Û
5156,343,P12,R2,Commentaire Aléatoire3_Trois_Ècî
5157,343,P13,R0,Commentaire Aléatoire0_Très
5158,343,P14,R0,Commentaire Aléatoire4_Qûàtré
5159,343,P20,R2,Commentaire Aléatoire2_Trop Û
5160,344,P01,R4,Commentaire Aléatoire0_Très
5161,344,P02,R9,Commentaire Aléatoire1_îàèù
5162,344,P03,R4,Commentaire Aléatoire3_Trois_Ècî
5163,344,P04,R5,Commentaire Aléatoire2_Trop Û
5164,344,P05,R2,Commentaire Aléatoire3_Trois_Ècî
5165,344,P06,R2,Commentaire Aléatoire3_Trois_Ècî
5166,344,P07,R7,Commentaire Aléatoire1_îàèù
5167,344,P08,R5,Commentaire Aléatoire2_Trop Û
5168,344,P09,R1,Commentaire Aléatoire4_Qûàtré
5169,344,P10,R2,Commentaire Aléatoire0_Très
5170,344,P11,R2,Commentaire Aléatoire2_Trop Û
5171,344,P12,R3,Commentaire Aléatoire2_Trop Û
5172,344,P13,R2,Commentaire Aléatoire3_Trois_Ècî
5173,344,P14,R2,Commentaire Aléatoire0_Très
5174,344,P20,R2,Commentaire Aléatoire0_Très
5175,345,P01,R4,Commentaire Aléatoire0_Très
5176,345,P02,R9,Commentaire Aléatoire4_Qûàtré
5177,345,P03,R4,Commentaire Aléatoire0_Très
5178,345,P04,R5,Commentaire Aléatoire2_Trop Û
5179,345,P05,R2,Commentaire Aléatoire0_Très
5180,345,P06,R2,Commentaire Aléatoire2_Trop Û
5181,345,P07,R7,Commentaire Aléatoire0_Très
5182,345,P08,R5,Commentaire Aléatoire0_Très
5183,345,P09,R2,Commentaire Aléatoire0_Très
5184,345,P10,R2,Commentaire Aléatoire4_Qûàtré
5185,345,P11,R2,Commentaire Aléatoire1_îàèù
5186,345,P12,R3,Commentaire Aléatoire3_Trois_Ècî
5187,345,P13,R2,Commentaire Aléatoire4_Qûàtré
5188,345,P14,R2,Commentaire Aléatoire1_îàèù
5189,345,P20,R2,Commentaire Aléatoire0_Très
5190,346,P01,R4,Commentaire Aléatoire4_Qûàtré
5191,346,P02,R9,Commentaire Aléatoire3_Trois_Ècî
5192,346,P03,R4,Commentaire Aléatoire3_Trois_Ècî
5193,346,P04,R5,Commentaire Aléatoire1_îàèù
5194,346,P05,R2,Commentaire Aléatoire2_Trop Û
5195,346,P06,R2,Commentaire Aléatoire2_Trop Û
5196,346,P07,R2,Commentaire Aléatoire0_Très
5197,346,P08,R5,Commentaire Aléatoire3_Trois_Ècî
5198,346,P09,R2,Commentaire Aléatoire0_Très
5199,346,P10,R2,Commentaire Aléatoire3_Trois_Ècî
5200,346,P11,R0,Commentaire Aléatoire0_Très
5201,346,P12,R2,Commentaire Aléatoire0_Très
5202,346,P13,R1,Commentaire Aléatoire4_Qûàtré
5203,346,P14,R0,Commentaire Aléatoire1_îàèù
5204,346,P20,R2,Commentaire Aléatoire4_Qûàtré
5205,347,P01,R4,Commentaire Aléatoire0_Très
5206,347,P02,R9,Commentaire Aléatoire1_îàèù
5207,347,P03,R4,Commentaire Aléatoire3_Trois_Ècî
5208,347,P04,R1,Commentaire Aléatoire2_Trop Û
5209,347,P05,R2,Commentaire Aléatoire1_îàèù
5210,347,P06,R0,Commentaire Aléatoire3_Trois_Ècî
5211,347,P07,R7,Commentaire Aléatoire3_Trois_Ècî
5212,347,P08,R5,Commentaire Aléatoire3_Trois_Ècî
5213,347,P09,R2,Commentaire Aléatoire2_Trop Û
5214,347,P10,R2,Commentaire Aléatoire0_Très
5215,347,P11,R2,Commentaire Aléatoire0_Très
5216,347,P12,R3,Commentaire Aléatoire2_Trop Û
5217,347,P13,R2,Commentaire Aléatoire2_Trop Û
5218,347,P14,R0,Commentaire Aléatoire1_îàèù
5219,347,P20,R0,Commentaire Aléatoire4_Qûàtré
5220,348,P01,R2,Commentaire Aléatoire0_Très
5221,348,P02,R9,Commentaire Aléatoire3_Trois_Ècî
5222,348,P03,R4,Commentaire Aléatoire4_Qûàtré
5223,348,P04,R5,Commentaire Aléatoire2_Trop Û
5224,348,P05,R2,Commentaire Aléatoire1_îàèù
5225,348,P06,R1,Commentaire Aléatoire3_Trois_Ècî
5226,348,P07,R7,Commentaire Aléatoire0_Très
5227,348,P08,R5,Commentaire Aléatoire2_Trop Û
5228,348,P09,R2,Commentaire Aléatoire4_Qûàtré
5229,348,P10,R0,Commentaire Aléatoire1_îàèù
5230,348,P11,R1,Commentaire Aléatoire0_Très
5231,348,P12,R3,Commentaire Aléatoire2_Trop Û
5232,348,P13,R0,Commentaire Aléatoire2_Trop Û
5233,348,P14,R2,Commentaire Aléatoire3_Trois_Ècî
5234,348,P20,R2,Commentaire Aléatoire2_Trop Û
5235,349,P01,R4,Commentaire Aléatoire1_îàèù
5236,349,P02,R9,Commentaire Aléatoire3_Trois_Ècî
5237,349,P03,R4,Commentaire Aléatoire0_Très
5238,349,P04,R5,Commentaire Aléatoire0_Très
5239,349,P05,R2,Commentaire Aléatoire4_Qûàtré
5240,349,P06,R2,Commentaire Aléatoire3_Trois_Ècî
5241,349,P07,R2,Commentaire Aléatoire0_Très
5242,349,P08,R5,Commentaire Aléatoire4_Qûàtré
5243,349,P09,R2,Commentaire Aléatoire3_Trois_Ècî
5244,349,P10,R2,Commentaire Aléatoire3_Trois_Ècî
5245,349,P11,R2,Commentaire Aléatoire0_Très
5246,349,P12,R3,Commentaire Aléatoire2_Trop Û
5247,349,P13,R2,Commentaire Aléatoire1_îàèù
5248,349,P14,R2,Commentaire Aléatoire1_îàèù
5249,349,P20,R1,Commentaire Aléatoire0_Très
5250,350,P01,R4,Commentaire Aléatoire4_Qûàtré
5251,350,P02,R9,Commentaire Aléatoire1_îàèù
5252,350,P03,R4,Commentaire Aléatoire1_îàèù
5253,350,P04,R5,Commentaire Aléatoire4_Qûàtré
5254,350,P05,R2,Commentaire Aléatoire4_Qûàtré
5255,350,P06,R2,Commentaire Aléatoire3_Trois_Ècî
5256,350,P07,R7,Commentaire Aléatoire0_Très
5257,350,P08,R5,Commentaire Aléatoire4_Qûàtré
5258,350,P09,R1,Commentaire Aléatoire3_Trois_Ècî
5259,350,P10,R2,Commentaire Aléatoire3_Trois_Ècî
5260,350,P11,R2,Commentaire Aléatoire2_Trop Û
5261,350,P12,R3,Commentaire Aléatoire3_Trois_Ècî
5262,350,P13,R0,Commentaire Aléatoire1_îàèù
5263,350,P14,R2,Commentaire Aléatoire3_Trois_Ècî
5264,350,P20,R2,Commentaire Aléatoire4_Qûàtré
5265,351,P01,R4,Commentaire Aléatoire4_Qûàtré
5266,351,P02,R9,Commentaire Aléatoire2_Trop Û
5267,351,P03,R4,Commentaire Aléatoire0_Très
5268,351,P04,R5,Commentaire Aléatoire2_Trop Û
5269,351,P05,R2,Commentaire Aléatoire4_Qûàtré
5270,351,P06,R2,Commentaire Aléatoire0_Très
5271,351,P07,R7,Commentaire Aléatoire0_Très
5272,351,P08,R5,Commentaire Aléatoire4_Qûàtré
5273,351,P09,R2,Commentaire Aléatoire3_Trois_Ècî
5274,351,P10,R2,Commentaire Aléatoire1_îàèù
5275,351,P11,R2,Commentaire Aléatoire2_Trop Û
5276,351,P12,R3,Commentaire Aléatoire0_Très
5277,351,P13,R2,Commentaire Aléatoire3_Trois_Ècî
5278,351,P14,R2,Commentaire Aléatoire0_Très
5279,351,P20,R0,Commentaire Aléatoire1_îàèù
5280,352,P01,R4,Commentaire Aléatoire0_Très
5281,352,P02,R9,Commentaire Aléatoire2_Trop Û
5282,352,P03,R4,Commentaire Aléatoire3_Trois_Ècî
5283,352,P04,R5,Commentaire Aléatoire1_îàèù
5284,352,P05,R2,Commentaire Aléatoire3_Trois_Ècî
5285,352,P06,R2,Commentaire Aléatoire1_îàèù
5286,352,P07,R7,Commentaire Aléatoire1_îàèù
5287,352,P08,R5,Commentaire Aléatoire4_Qûàtré
5288,352,P09,R2,Commentaire Aléatoire1_îàèù
5289,352,P10,R2,Commentaire Aléatoire2_Trop Û
5290,352,P11,R2,Commentaire Aléatoire2_Trop Û
5291,352,P12,R3,Commentaire Aléatoire3_Trois_Ècî
5292,352,P13,R2,Commentaire Aléatoire4_Qûàtré
5293,352,P14,R2,Commentaire Aléatoire2_Trop Û
